Order ID,Order Date,Year,Month,Month-Year,Customer ID,Customer Name,Region,Category,Product,Quantity,Unit Price ($),Total Amount ($),Payment Method,Status
ORD-2025028,04-10-2025,2025,Oct,2025-10,CUST-1001,Aarav Sharma,North,Electronics,Smartphone,4,266.27,1065.08,Debit Card,Completed
ORD-2025029,25-07-2025,2025,Jul,2025-07,CUST-1001,Aarav Sharma,North,Clothing,Leather Belt,4,15.23,60.92,Net Banking,Pending
ORD-2025030,21-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Books & Media,Audiobook Subscription,4,43.09,172.36,UPI,Completed
ORD-2025031,22-04-2025,2025,Apr,2025-04,CUST-1001,Aarav Sharma,North,Electronics,Wireless Headphones,5,144.03,720.15,Debit Card,Completed
ORD-2025032,29-09-2025,2025,Sep,2025-09,CUST-1003,Rohan Verma,North,Electronics,4K Monitor,2,169.72,339.44,Credit Card,Completed
ORD-2025033,12-12-2025,2025,Dec,2025-12,CUST-1004,Ananya Iyer,South,Books & Media,Python Programming Book,5,57.08,285.4,UPI,Completed
ORD-2025034,21-01-2025,2025,Jan,2025-01,CUST-1010,Sneha Kulkarni,West,Electronics,Smartwatch,5,816.26,4081.3,Net Banking,Pending
ORD-2025035,15-04-2025,2025,Apr,2025-04,CUST-1006,Neha Gupta,East,Clothing,Cotton T-Shirt,3,56.56,169.68,Debit Card,Completed
ORD-2025036,07-02-2025,2025,Feb,2025-02,CUST-1001,Aarav Sharma,North,Books & Media,Audiobook Subscription,1,59.92,59.92,Credit Card,Completed
ORD-2025037,17-09-2025,2025,Sep,2025-09,CUST-1005,Vikram Singh,West,Clothing,Cotton T-Shirt,2,107.49,214.98,Net Banking,Completed
ORD-2025038,13-08-2025,2025,Aug,2025-08,CUST-1009,Amit Joshi,West,Home & Kitchen,Ergonomic Chair,5,344.83,1724.15,Credit Card,Completed
ORD-2025039,11-10-2025,2025,Oct,2025-10,CUST-1005,Vikram Singh,West,Electronics,Smartphone,1,376.2,376.2,UPI,Completed
ORD-2025040,06-11-2025,2025,Nov,2025-11,CUST-1004,Ananya Iyer,South,Home & Kitchen,Blender,3,250,750,Debit Card,Completed
ORD-2025041,27-01-2025,2025,Jan,2025-01,CUST-1002,Priya Patel,West,Books & Media,Sci-Fi Novel,3,12.2,36.6,UPI,Completed
ORD-2025042,15-05-2025,2025,May,2025-05,CUST-1003,Rohan Verma,North,Books & Media,Audiobook Subscription,5,45.28,226.4,Credit Card,Completed
ORD-2025043,20-12-2025,2025,Dec,2025-12,CUST-1003,Rohan Verma,North,Electronics,Wireless Headphones,2,732.41,1464.82,Debit Card,Completed
ORD-2025044,07-06-2025,2025,Jun,2025-06,CUST-1006,Neha Gupta,East,Electronics,Wireless Headphones,2,315.29,630.58,Credit Card,Completed
ORD-2025045,14-10-2025,2025,Oct,2025-10,CUST-1007,Siddharth Rao,South,Clothing,Running Shoes,2,105.78,211.56,Debit Card,Completed
ORD-2025046,20-06-2025,2025,Jun,2025-06,CUST-1007,Siddharth Rao,South,Clothing,Cotton T-Shirt,1,31.72,31.72,Debit Card,Pending
ORD-2025047,29-08-2025,2025,Aug,2025-08,CUST-1004,Ananya Iyer,South,Clothing,Leather Belt,2,51.71,103.42,UPI,Completed
ORD-2025048,09-04-2025,2025,Apr,2025-04,CUST-1007,Siddharth Rao,South,Home & Kitchen,Air Fryer,3,306.59,919.77,Net Banking,Completed
ORD-2025049,24-07-2025,2025,Jul,2025-07,CUST-1009,Amit Joshi,West,Home & Kitchen,Coffee Maker,3,66.91,200.73,UPI,Completed
ORD-2025050,16-05-2025,2025,May,2025-05,CUST-1001,Aarav Sharma,North,Electronics,4K Monitor,3,566.71,1700.13,Debit Card,Completed
ORD-2025051,19-09-2025,2025,Sep,2025-09,CUST-1002,Priya Patel,West,Books & Media,Audiobook Subscription,1,19.5,19.5,Debit Card,Completed
ORD-2025052,03-10-2025,2025,Oct,2025-10,CUST-1004,Ananya Iyer,South,Home & Kitchen,Desk Lamp,3,52.39,157.17,Net Banking,Completed
ORD-2025053,05-03-2025,2025,Mar,2025-03,CUST-1005,Vikram Singh,West,Home & Kitchen,Desk Lamp,3,134.38,403.14,UPI,Completed
ORD-2025054,07-12-2025,2025,Dec,2025-12,CUST-1007,Siddharth Rao,South,Clothing,Hoodie,4,74.76,299.04,Credit Card,Completed
ORD-2025055,18-04-2025,2025,Apr,2025-04,CUST-1007,Siddharth Rao,South,Home & Kitchen,Desk Lamp,2,171.37,342.74,Debit Card,Completed
ORD-2025056,28-03-2025,2025,Mar,2025-03,CUST-1002,Priya Patel,West,Home & Kitchen,Ergonomic Chair,5,242.43,1212.15,Net Banking,Completed
ORD-2025057,01-05-2025,2025,May,2025-05,CUST-1005,Vikram Singh,West,Clothing,Running Shoes,1,30.47,30.47,UPI,Cancelled
ORD-2025058,09-11-2025,2025,Nov,2025-11,CUST-1002,Priya Patel,West,Books & Media,Productivity Planner,5,54.31,271.55,UPI,Completed
ORD-2025059,16-07-2025,2025,Jul,2025-07,CUST-1008,Pooja Mukherjee,East,Books & Media,Data Science Handbook,1,17.38,17.38,Credit Card,Completed
ORD-2025060,23-04-2025,2025,Apr,2025-04,CUST-1003,Rohan Verma,North,Books & Media,Python Programming Book,1,37.87,37.87,Debit Card,Completed
ORD-2025061,26-08-2025,2025,Aug,2025-08,CUST-1009,Amit Joshi,West,Home & Kitchen,Desk Lamp,5,226.05,1130.25,Debit Card,Completed
ORD-2025062,08-10-2025,2025,Oct,2025-10,CUST-1008,Pooja Mukherjee,East,Clothing,Leather Belt,2,62.26,124.52,Net Banking,Completed
ORD-2025063,24-09-2025,2025,Sep,2025-09,CUST-1008,Pooja Mukherjee,East,Clothing,Cotton T-Shirt,3,61.19,183.57,UPI,Completed
ORD-2025064,13-06-2025,2025,Jun,2025-06,CUST-1009,Amit Joshi,West,Electronics,Smartphone,4,248.93,995.72,UPI,Completed
ORD-2025065,02-02-2025,2025,Feb,2025-02,CUST-1007,Siddharth Rao,South,Books & Media,Sci-Fi Novel,4,37.13,148.52,Credit Card,Completed
ORD-2025066,04-08-2025,2025,Aug,2025-08,CUST-1007,Siddharth Rao,South,Electronics,4K Monitor,1,506.03,506.03,Net Banking,Completed
ORD-2025067,19-07-2025,2025,Jul,2025-07,CUST-1007,Siddharth Rao,South,Clothing,Leather Belt,4,38.04,152.16,Debit Card,Completed
ORD-2025068,22-06-2025,2025,Jun,2025-06,CUST-1007,Siddharth Rao,South,Clothing,Leather Belt,5,111.55,557.75,Credit Card,Pending
ORD-2025069,31-10-2025,2025,Oct,2025-10,CUST-1010,Sneha Kulkarni,West,Electronics,Laptop,2,799.88,1599.76,Debit Card,Completed
ORD-2025070,14-05-2025,2025,May,2025-05,CUST-1007,Siddharth Rao,South,Home & Kitchen,Blender,3,175.5,526.5,Debit Card,Completed
ORD-2025071,04-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Electronics,Smartwatch,5,101.71,508.55,Credit Card,Cancelled
ORD-2025072,29-06-2025,2025,Jun,2025-06,CUST-1004,Ananya Iyer,South,Electronics,Laptop,2,924.74,1849.48,UPI,Completed
ORD-2025073,15-11-2025,2025,Nov,2025-11,CUST-1003,Rohan Verma,North,Clothing,Running Shoes,1,64.72,64.72,UPI,Completed
ORD-2025074,12-05-2025,2025,May,2025-05,CUST-1006,Neha Gupta,East,Clothing,Hoodie,1,78.76,78.76,UPI,Cancelled
ORD-2025075,25-02-2025,2025,Feb,2025-02,CUST-1010,Sneha Kulkarni,West,Electronics,Wireless Headphones,4,724.89,2899.56,Debit Card,Pending
ORD-2025076,12-04-2025,2025,Apr,2025-04,CUST-1002,Priya Patel,West,Clothing,Denim Jacket,3,88.21,264.63,Credit Card,Completed
ORD-2025077,17-10-2025,2025,Oct,2025-10,CUST-1001,Aarav Sharma,North,Home & Kitchen,Ergonomic Chair,3,167.08,501.24,Credit Card,Completed
ORD-2025078,24-06-2025,2025,Jun,2025-06,CUST-1001,Aarav Sharma,North,Books & Media,Productivity Planner,3,15.28,45.84,Debit Card,Completed
ORD-2025079,11-08-2025,2025,Aug,2025-08,CUST-1003,Rohan Verma,North,Home & Kitchen,Ergonomic Chair,5,288.62,1443.1,Debit Card,Completed
ORD-2025080,31-10-2025,2025,Oct,2025-10,CUST-1005,Vikram Singh,West,Home & Kitchen,Blender,1,295.83,295.83,Net Banking,Pending
ORD-2025081,05-05-2025,2025,May,2025-05,CUST-1008,Pooja Mukherjee,East,Books & Media,Sci-Fi Novel,3,11.43,34.29,UPI,Completed
ORD-2025082,01-07-2025,2025,Jul,2025-07,CUST-1005,Vikram Singh,West,Home & Kitchen,Air Fryer,3,311.7,935.1,Credit Card,Completed
ORD-2025083,08-04-2025,2025,Apr,2025-04,CUST-1002,Priya Patel,West,Clothing,Leather Belt,2,66.3,132.6,Debit Card,Completed
ORD-2025084,09-09-2025,2025,Sep,2025-09,CUST-1008,Pooja Mukherjee,East,Electronics,Laptop,4,409.54,1638.16,UPI,Completed
ORD-2025085,25-10-2025,2025,Oct,2025-10,CUST-1006,Neha Gupta,East,Books & Media,Audiobook Subscription,4,36.55,146.2,Net Banking,Completed
ORD-2025086,21-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Home & Kitchen,Air Fryer,2,103.77,207.54,Net Banking,Completed
ORD-2025087,02-10-2025,2025,Oct,2025-10,CUST-1003,Rohan Verma,North,Clothing,Running Shoes,3,92.55,277.65,Net Banking,Cancelled
ORD-2025088,10-04-2025,2025,Apr,2025-04,CUST-1005,Vikram Singh,West,Clothing,Cotton T-Shirt,1,33.84,33.84,UPI,Completed
ORD-2025089,28-01-2025,2025,Jan,2025-01,CUST-1009,Amit Joshi,West,Home & Kitchen,Blender,4,234.12,936.48,Credit Card,Pending
ORD-2025090,21-10-2025,2025,Oct,2025-10,CUST-1005,Vikram Singh,West,Books & Media,Productivity Planner,2,32.02,64.04,Credit Card,Completed
ORD-2025091,02-09-2025,2025,Sep,2025-09,CUST-1002,Priya Patel,West,Electronics,Smartwatch,5,630.76,3153.8,Credit Card,Completed
ORD-2025092,16-10-2025,2025,Oct,2025-10,CUST-1005,Vikram Singh,West,Electronics,Smartphone,4,212.67,850.68,UPI,Completed
ORD-2025093,14-07-2025,2025,Jul,2025-07,CUST-1008,Pooja Mukherjee,East,Books & Media,Sci-Fi Novel,4,53.01,212.04,Net Banking,Completed
ORD-2025094,31-01-2025,2025,Jan,2025-01,CUST-1010,Sneha Kulkarni,West,Electronics,Smartphone,3,780.58,2341.74,Credit Card,Completed
ORD-2025095,30-03-2025,2025,Mar,2025-03,CUST-1009,Amit Joshi,West,Electronics,Smartphone,4,83,332,Debit Card,Completed
ORD-2025096,29-04-2025,2025,Apr,2025-04,CUST-1005,Vikram Singh,West,Home & Kitchen,Desk Lamp,2,52.78,105.56,Net Banking,Completed
ORD-2025097,17-11-2025,2025,Nov,2025-11,CUST-1010,Sneha Kulkarni,West,Clothing,Leather Belt,2,27.05,54.1,UPI,Pending
ORD-2025098,14-03-2025,2025,Mar,2025-03,CUST-1002,Priya Patel,West,Electronics,Smartphone,5,967.74,4838.7,Net Banking,Completed
ORD-2025099,28-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Books & Media,Sci-Fi Novel,4,35.02,140.08,Debit Card,Completed
ORD-2025100,21-01-2025,2025,Jan,2025-01,CUST-1007,Siddharth Rao,South,Home & Kitchen,Ergonomic Chair,1,110.12,110.12,UPI,Cancelled
ORD-2025101,22-10-2025,2025,Oct,2025-10,CUST-1010,Sneha Kulkarni,West,Electronics,Wireless Headphones,2,725.4,1450.8,Debit Card,Completed
ORD-2025102,15-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Clothing,Hoodie,4,60.77,243.08,Credit Card,Completed
ORD-2025103,29-07-2025,2025,Jul,2025-07,CUST-1006,Neha Gupta,East,Home & Kitchen,Coffee Maker,3,304.47,913.41,Debit Card,Completed
ORD-2025104,28-05-2025,2025,May,2025-05,CUST-1007,Siddharth Rao,South,Electronics,Smartwatch,3,178.63,535.89,Net Banking,Completed
ORD-2025105,26-07-2025,2025,Jul,2025-07,CUST-1009,Amit Joshi,West,Electronics,4K Monitor,1,597.41,597.41,UPI,Completed
ORD-2025106,15-11-2025,2025,Nov,2025-11,CUST-1008,Pooja Mukherjee,East,Books & Media,Python Programming Book,5,20.18,100.9,UPI,Pending
ORD-2025107,13-08-2025,2025,Aug,2025-08,CUST-1008,Pooja Mukherjee,East,Electronics,Laptop,5,1169.92,5849.6,UPI,Completed
ORD-2025108,09-06-2025,2025,Jun,2025-06,CUST-1009,Amit Joshi,West,Electronics,4K Monitor,2,536.95,1073.9,Credit Card,Completed
ORD-2025109,02-03-2025,2025,Mar,2025-03,CUST-1003,Rohan Verma,North,Books & Media,Sci-Fi Novel,3,35.44,106.32,Debit Card,Completed
ORD-2025110,30-08-2025,2025,Aug,2025-08,CUST-1004,Ananya Iyer,South,Books & Media,Audiobook Subscription,2,17.23,34.46,UPI,Pending
ORD-2025111,22-05-2025,2025,May,2025-05,CUST-1007,Siddharth Rao,South,Home & Kitchen,Ergonomic Chair,1,115.5,115.5,Net Banking,Completed
ORD-2025112,28-10-2025,2025,Oct,2025-10,CUST-1010,Sneha Kulkarni,West,Books & Media,Data Science Handbook,4,32.33,129.32,Net Banking,Completed
ORD-2025113,06-10-2025,2025,Oct,2025-10,CUST-1007,Siddharth Rao,South,Books & Media,Sci-Fi Novel,2,53.48,106.96,Debit Card,Completed
ORD-2025114,30-07-2025,2025,Jul,2025-07,CUST-1001,Aarav Sharma,North,Home & Kitchen,Desk Lamp,4,255.67,1022.68,Debit Card,Cancelled
ORD-2025115,30-11-2025,2025,Nov,2025-11,CUST-1003,Rohan Verma,North,Books & Media,Python Programming Book,5,16.31,81.55,Net Banking,Pending
ORD-2025116,14-08-2025,2025,Aug,2025-08,CUST-1002,Priya Patel,West,Books & Media,Python Programming Book,4,46.12,184.48,UPI,Completed
ORD-2025117,16-05-2025,2025,May,2025-05,CUST-1006,Neha Gupta,East,Books & Media,Python Programming Book,5,52.59,262.95,Debit Card,Cancelled
ORD-2025118,17-11-2025,2025,Nov,2025-11,CUST-1008,Pooja Mukherjee,East,Electronics,4K Monitor,3,156.63,469.89,UPI,Completed
ORD-2025119,11-08-2025,2025,Aug,2025-08,CUST-1002,Priya Patel,West,Electronics,Smartwatch,3,266.33,798.99,Credit Card,Completed
ORD-2025120,29-01-2025,2025,Jan,2025-01,CUST-1005,Vikram Singh,West,Home & Kitchen,Air Fryer,2,167.82,335.64,Debit Card,Completed
ORD-2025121,03-04-2025,2025,Apr,2025-04,CUST-1003,Rohan Verma,North,Clothing,Denim Jacket,4,79,316,UPI,Completed
ORD-2025122,26-10-2025,2025,Oct,2025-10,CUST-1003,Rohan Verma,North,Clothing,Leather Belt,4,81.98,327.92,Net Banking,Completed
ORD-2025123,27-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Clothing,Denim Jacket,3,61.38,184.14,Net Banking,Completed
ORD-2025124,06-08-2025,2025,Aug,2025-08,CUST-1005,Vikram Singh,West,Books & Media,Sci-Fi Novel,4,19.96,79.84,Debit Card,Completed
ORD-2025125,15-07-2025,2025,Jul,2025-07,CUST-1010,Sneha Kulkarni,West,Home & Kitchen,Ergonomic Chair,3,124.68,374.04,Credit Card,Cancelled
ORD-2025126,04-12-2025,2025,Dec,2025-12,CUST-1007,Siddharth Rao,South,Home & Kitchen,Coffee Maker,1,211.1,211.1,Debit Card,Completed
ORD-2025127,27-05-2025,2025,May,2025-05,CUST-1004,Ananya Iyer,South,Home & Kitchen,Blender,5,233.72,1168.6,Net Banking,Completed
ORD-2025128,04-12-2025,2025,Dec,2025-12,CUST-1003,Rohan Verma,North,Electronics,Laptop,4,426,1704,Credit Card,Completed
ORD-2025129,09-03-2025,2025,Mar,2025-03,CUST-1002,Priya Patel,West,Home & Kitchen,Air Fryer,2,269.19,538.38,UPI,Completed
ORD-2025130,04-10-2025,2025,Oct,2025-10,CUST-1006,Neha Gupta,East,Home & Kitchen,Blender,4,112.23,448.92,Net Banking,Completed
ORD-2025131,23-06-2025,2025,Jun,2025-06,CUST-1002,Priya Patel,West,Books & Media,Python Programming Book,2,17.04,34.08,Debit Card,Cancelled
ORD-2025132,13-10-2025,2025,Oct,2025-10,CUST-1006,Neha Gupta,East,Electronics,Smartwatch,5,95.59,477.95,Credit Card,Completed
ORD-2025133,11-12-2025,2025,Dec,2025-12,CUST-1005,Vikram Singh,West,Books & Media,Sci-Fi Novel,2,15.42,30.84,Debit Card,Completed
ORD-2025134,15-10-2025,2025,Oct,2025-10,CUST-1006,Neha Gupta,East,Clothing,Denim Jacket,4,81.72,326.88,Net Banking,Completed
ORD-2025135,01-03-2025,2025,Mar,2025-03,CUST-1003,Rohan Verma,North,Electronics,Laptop,4,420.89,1683.56,Credit Card,Completed
ORD-2025136,03-10-2025,2025,Oct,2025-10,CUST-1003,Rohan Verma,North,Books & Media,Productivity Planner,5,28.55,142.75,Debit Card,Completed
ORD-2025137,21-03-2025,2025,Mar,2025-03,CUST-1007,Siddharth Rao,South,Electronics,Smartwatch,3,769.53,2308.59,Credit Card,Completed
ORD-2025138,22-04-2025,2025,Apr,2025-04,CUST-1008,Pooja Mukherjee,East,Books & Media,Data Science Handbook,1,52.77,52.77,Net Banking,Completed
ORD-2025139,27-11-2025,2025,Nov,2025-11,CUST-1006,Neha Gupta,East,Electronics,Smartwatch,1,388.99,388.99,Debit Card,Completed
ORD-2025140,19-04-2025,2025,Apr,2025-04,CUST-1010,Sneha Kulkarni,West,Electronics,Laptop,2,961.21,1922.42,UPI,Completed
ORD-2025141,16-04-2025,2025,Apr,2025-04,CUST-1002,Priya Patel,West,Clothing,Hoodie,2,37.67,75.34,Net Banking,Completed
ORD-2025142,02-11-2025,2025,Nov,2025-11,CUST-1001,Aarav Sharma,North,Home & Kitchen,Blender,5,346.01,1730.05,Net Banking,Completed
ORD-2025143,26-02-2025,2025,Feb,2025-02,CUST-1001,Aarav Sharma,North,Clothing,Denim Jacket,2,52.62,105.24,Net Banking,Completed
ORD-2025144,16-05-2025,2025,May,2025-05,CUST-1001,Aarav Sharma,North,Clothing,Leather Belt,1,70.24,70.24,Debit Card,Completed
ORD-2025145,05-07-2025,2025,Jul,2025-07,CUST-1009,Amit Joshi,West,Electronics,Smartwatch,5,644.3,3221.5,Credit Card,Completed
ORD-2025146,04-12-2025,2025,Dec,2025-12,CUST-1009,Amit Joshi,West,Home & Kitchen,Desk Lamp,1,235.87,235.87,Credit Card,Cancelled
ORD-2025147,25-07-2025,2025,Jul,2025-07,CUST-1007,Siddharth Rao,South,Electronics,Smartwatch,4,877.89,3511.56,Credit Card,Pending
ORD-2025148,14-06-2025,2025,Jun,2025-06,CUST-1010,Sneha Kulkarni,West,Clothing,Denim Jacket,5,28.25,141.25,Net Banking,Completed
ORD-2025149,02-11-2025,2025,Nov,2025-11,CUST-1009,Amit Joshi,West,Home & Kitchen,Desk Lamp,4,191.78,767.12,Credit Card,Completed
ORD-2025150,28-02-2025,2025,Feb,2025-02,CUST-1009,Amit Joshi,West,Clothing,Leather Belt,2,62.41,124.82,Debit Card,Completed
ORD-2025351,17-07-2025,2025,Jul,2025-07,CUST-1008,Pooja Mukherjee,East,Books & Media,Data Science Handbook,4,19.8,79.2,Credit Card,Completed
ORD-2025352,20-08-2025,2025,Aug,2025-08,CUST-1001,Aarav Sharma,North,Home & Kitchen,Blender,5,105.98,529.9,UPI,Pending
ORD-2025353,17-06-2025,2025,Jun,2025-06,CUST-1008,Pooja Mukherjee,East,Clothing,Leather Belt,1,63.82,63.82,UPI,Completed
ORD-2025354,17-08-2025,2025,Aug,2025-08,CUST-1008,Pooja Mukherjee,East,Books & Media,Sci-Fi Novel,2,58.4,116.8,Credit Card,Completed
ORD-2025355,14-05-2025,2025,May,2025-05,CUST-1001,Aarav Sharma,North,Clothing,Running Shoes,1,111.07,111.07,Net Banking,Completed
ORD-2025356,23-04-2025,2025,Apr,2025-04,CUST-1004,Ananya Iyer,South,Books & Media,Data Science Handbook,3,25.41,76.23,UPI,Completed
ORD-2025357,22-06-2025,2025,Jun,2025-06,CUST-1008,Pooja Mukherjee,East,Clothing,Cotton T-Shirt,5,95.74,478.7,UPI,Completed
ORD-2025358,20-07-2025,2025,Jul,2025-07,CUST-1009,Amit Joshi,West,Home & Kitchen,Air Fryer,2,161,322,Net Banking,Pending
ORD-2025359,26-02-2025,2025,Feb,2025-02,CUST-1004,Ananya Iyer,South,Home & Kitchen,Coffee Maker,5,55.89,279.45,Debit Card,Completed
ORD-2025360,13-06-2025,2025,Jun,2025-06,CUST-1002,Priya Patel,West,Home & Kitchen,Blender,5,110.59,552.95,Debit Card,Cancelled
ORD-2025361,04-06-2025,2025,Jun,2025-06,CUST-1003,Rohan Verma,North,Clothing,Hoodie,4,64.01,256.04,Credit Card,Pending
ORD-2025362,30-03-2025,2025,Mar,2025-03,CUST-1006,Neha Gupta,East,Books & Media,Productivity Planner,2,47.37,94.74,Credit Card,Completed
ORD-2025363,07-04-2025,2025,Apr,2025-04,CUST-1010,Sneha Kulkarni,West,Clothing,Denim Jacket,1,107.62,107.62,Debit Card,Completed
ORD-2025364,07-07-2025,2025,Jul,2025-07,CUST-1004,Ananya Iyer,South,Electronics,Smartphone,1,541.66,541.66,Net Banking,Completed
ORD-2025365,13-09-2025,2025,Sep,2025-09,CUST-1004,Ananya Iyer,South,Clothing,Leather Belt,2,113.81,227.62,Credit Card,Completed
ORD-2025366,29-08-2025,2025,Aug,2025-08,CUST-1010,Sneha Kulkarni,West,Clothing,Denim Jacket,1,73.16,73.16,Credit Card,Completed
ORD-2025367,31-01-2025,2025,Jan,2025-01,CUST-1006,Neha Gupta,East,Books & Media,Productivity Planner,4,38.22,152.88,Net Banking,Completed
ORD-2025368,08-05-2025,2025,May,2025-05,CUST-1004,Ananya Iyer,South,Electronics,4K Monitor,5,697.4,3487,Debit Card,Completed
ORD-2025369,03-10-2025,2025,Oct,2025-10,CUST-1009,Amit Joshi,West,Electronics,Wireless Headphones,2,1000.02,2000.04,Net Banking,Completed
ORD-2025370,08-10-2025,2025,Oct,2025-10,CUST-1002,Priya Patel,West,Home & Kitchen,Blender,4,147.55,590.2,Debit Card,Completed
ORD-2025371,30-10-2025,2025,Oct,2025-10,CUST-1009,Amit Joshi,West,Clothing,Leather Belt,2,50.69,101.38,UPI,Completed
ORD-2025372,10-07-2025,2025,Jul,2025-07,CUST-1005,Vikram Singh,West,Clothing,Running Shoes,2,46.67,93.34,Debit Card,Completed
ORD-2025373,24-01-2025,2025,Jan,2025-01,CUST-1006,Neha Gupta,East,Home & Kitchen,Air Fryer,2,94.6,189.2,Debit Card,Completed
ORD-2025374,20-01-2025,2025,Jan,2025-01,CUST-1005,Vikram Singh,West,Books & Media,Sci-Fi Novel,1,16.97,16.97,Debit Card,Completed
ORD-2025375,20-10-2025,2025,Oct,2025-10,CUST-1008,Pooja Mukherjee,East,Home & Kitchen,Blender,3,331.4,994.2,Debit Card,Completed
ORD-2025376,22-12-2025,2025,Dec,2025-12,CUST-1004,Ananya Iyer,South,Home & Kitchen,Blender,3,162,486,Debit Card,Pending
ORD-2025377,02-05-2025,2025,May,2025-05,CUST-1005,Vikram Singh,West,Clothing,Denim Jacket,4,80.89,323.56,UPI,Pending
